databaseId	name	imageUrl	cardBack	type	packName	set	loadGroupId
Premiere_A_Cold_Day_in_Hell.jpg	A Cold Day in Hell	rifts-ccg/premiere/RiftsCcg-Premiere-AColdDayInHell.jpg	default	Asset	Premiere	Premiere	playerNDeck
Premiere_A-63_All_Purpose_Robots.jpg	A-63 All Purpose Robots	rifts-ccg/premiere/RiftsCcg-Premiere-A63AllPurposeRobots.jpg	default	Field Unit	Premiere	Premiere	playerNDeck
Premiere_A-64_Master_Robots.jpg	A-64 Master Robots	rifts-ccg/premiere/RiftsCcg-Premiere-A64MasterRobots.jpg	default	Field Unit	Premiere	Premiere	playerNDeck
Premiere_AA-10_Bottweilers.jpg	AA-10 Bottweilers	rifts-ccg/premiere/RiftsCcg-Premiere-AA10Bottweilers.jpg	default	Field Unit	Premiere	Premiere	playerNDeck
Premiere_AA-50_Insectons.jpg	AA-50 Insectons	rifts-ccg/premiere/RiftsCcg-Premiere-AA50Insectons.jpg	default	Field Unit	Premiere	Premiere	playerNDeck
Premiere_Aberdeen_Proving_Grounds.jpg	Aberdeen Proving Grounds	rifts-ccg/premiere/RiftsCcg-Premiere-AberdeenProvingGrounds.jpg	default	Base Unit	Premiere	Premiere	playerNDeck
Premiere_AC-29_Air_Castle_Bombers.jpg	AC-29 Air Castle Bombers	rifts-ccg/premiere/RiftsCcg-Premiere-AC29AirCastleBombers.jpg	default	Field Unit	Premiere	Premiere	playerNDeck
Premiere_Aerial_Attack.jpg	Aerial Attack	rifts-ccg/premiere/RiftsCcg-Premiere-AerialAttack.jpg	default	Event	Premiere	Premiere	playerNDeck
Premiere_Alistair_Dunscon.jpg	Alistair Dunscon	rifts-ccg/premiere/RiftsCcg-Premiere-AlistairDunscon.jpg	default	Base Unit	Premiere	Premiere	playerNDeck
Premiere_All_Bases_Covered.jpg	All Bases Covered	rifts-ccg/premiere/RiftsCcg-Premiere-AllBasesCovered.jpg	default	Event	Premiere	Premiere	playerNDeck
Premiere_Alliance_of_Science.jpg	Alliance of Science	rifts-ccg/premiere/RiftsCcg-Premiere-AllianceOfScience.jpg	default	Asset	Premiere	Premiere	playerNDeck
Premiere_Alliance_of_Sorcery.jpg	Alliance of Sorcery	rifts-ccg/premiere/RiftsCcg-Premiere-AllianceOfSorcery.jpg	default	Asset	Premiere	Premiere	playerNDeck
Premiere_Ambush.jpg	Ambush	rifts-ccg/premiere/RiftsCcg-Premiere-Ambush.jpg	default	Event	Premiere	Premiere	playerNDeck
Premiere_Apprentice.jpg	Apprentice	rifts-ccg/premiere/RiftsCcg-Premiere-Apprentice.jpg	default	Asset	Premiere	Premiere	playerNDeck
Premiere_A.R.C.H.I.E._3-OZ.jpg	A.R.C.H.I.E. 3-OZ	rifts-ccg/premiere/RiftsCcg-Premiere-ARCHIE3OZ.jpg	default	Base Unit	Premiere	Premiere	playerNDeck
Premiere_Arl_Xzzyni.jpg	Arl Xzzyni	rifts-ccg/premiere/RiftsCcg-Premiere-ArlXzzyni.jpg	default	Base Unit	Premiere	Premiere	playerNDeck
Premiere_Armor_of_Ithan.jpg	Armor of Ithan	rifts-ccg/premiere/RiftsCcg-Premiere-ArmorOfIthan.jpg	default	Asset	Premiere	Premiere	playerNDeck
Premiere_Army_Recce.jpg	Army Recce	rifts-ccg/premiere/RiftsCcg-Premiere-ArmyRecce.jpg	default	Field Unit	Premiere	Premiere	playerNDeck
Premiere_Artillery_Barrage.jpg	Artillery Barrage	rifts-ccg/premiere/RiftsCcg-Premiere-ArtilleryBarrage.jpg	default	Asset	Premiere	Premiere	playerNDeck
Premiere_Aurelor_the_Magnificent.jpg	Aurelor the Magnificent	rifts-ccg/premiere/RiftsCcg-Premiere-AurelorTheMagnificent.jpg	default	Field Unit	Premiere	Premiere	playerNDeck
Premiere_Basal_Daemonix.jpg	Basal Daemonix	rifts-ccg/premiere/RiftsCcg-Premiere-BasalDaemonix.jpg	default	Base Unit	Premiere	Premiere	playerNDeck
Premiere_Battle_Magi.jpg	Battle Magi	rifts-ccg/premiere/RiftsCcg-Premiere-BattleMagi.jpg	default	Field Unit	Premiere	Premiere	playerNDeck
Premiere_Bigger_Guns.jpg	Bigger Guns	rifts-ccg/premiere/RiftsCcg-Premiere-BiggerGuns.jpg	default	Asset	Premiere	Premiere	playerNDeck
Premiere_Bio-Regeneration.jpg	Bio-Regeneration	rifts-ccg/premiere/RiftsCcg-Premiere-BioRegeneration.jpg	default	Asset	Premiere	Premiere	playerNDeck
Premiere_Black_Lightning_Helicopters.jpg	Black Lightning Helicopters	rifts-ccg/premiere/RiftsCcg-Premiere-BlackLightningHelicopters.jpg	default	Field Unit	Premiere	Premiere	playerNDeck
Premiere_Black_Market.jpg	Black Market	rifts-ccg/premiere/RiftsCcg-Premiere-BlackMarket.jpg	default	Asset	Premiere	Premiere	playerNDeck
Premiere_Bloodmist.jpg	Bloodmist	rifts-ccg/premiere/RiftsCcg-Premiere-Bloodmist.jpg	default	Base Unit	Premiere	Premiere	playerNDeck
Premiere_Bodyguards.jpg	Bodyguards	rifts-ccg/premiere/RiftsCcg-Premiere-Bodyguards.jpg	default	Asset	Premiere	Premiere	playerNDeck
