databaseId	name	imageUrl	cardBack	type	allowedPaths	attack	attackingFactions	buckler	cardNumber	defendingFactions	defense	faction	leadershipAttack	leadershipDefense	pathCombat	pathNumber	playerName	set	skull	text	victoryPoints	wielders
012ff4ad-8ec9-4f10-80dd-60db11e1b8c9	Vilya, Ring of Air	war-of-the-ring-card-game/core/WarOfTheRingCardGame-Core-VilyaRingOfAir.jpg	Free Peoples Card	Item		1		1	30		1	Elf			1		Aragorn	Core		If in reserve, you may use your action and cycle this card so each Free Peoples player draws 1 card.		Elrond
016ee12f-1fca-4a49-a5cb-4134645effe9	Horde from the East	war-of-the-ring-card-game/fire-and-swords/WarOfTheRingCardGame-FireAndSwords-HordeFromTheEast.jpg	Shadow Card	Event					173			Easterling						Fire and Swords		Add [attack][attack] or [defense] to an Easterling or Mordor army on a battleground.		
018c57b0-538c-498a-a9c0-6fd308d4f8b7	Egladil	war-of-the-ring-card-game/core/WarOfTheRingCardGame-Core-Egladil.jpg	Path 5	Path				1	14						1	5		Core		Each Free Peoples player draws 2 cards and then cycles 1 card from hand.	1	
0242c6e2-4694-4580-a014-7595968bdf21	Halbarad	war-of-the-ring-card-game/core/WarOfTheRingCardGame-Core-Halbarad.jpg	Free Peoples Card	Character	2,3			1	10		1	Dúnedain	1		1		Aragorn	Core		If in reserve, you may use your action and cycle this card to take Strider or Aragorn from your draw deck into hand.		
02eaee4d-9386-452d-9ff1-b1f8f78cfc27	The Cross-roads	war-of-the-ring-card-game/core/WarOfTheRingCardGame-Core-TheCrossRoads.jpg	Path 7	Path					21							7		Core		Each Free Peoples player draws 1 card.	1	
03455178-5819-457b-b22d-9d49abab59aa	The Black Serpent	war-of-the-ring-card-game/against-the-shadow/WarOfTheRingCardGame-AgainstTheShadow-TheBlackSerpent.jpg	Shadow Card	Character					90			Southron	1	1			Isengard	Against the Shadow		When played or moved to a battleground, each Free Peoples player must forsake 1 card.		
056d7d36-8d0e-48d7-8677-d111ce34fae4	Mordor Orcs	war-of-the-ring-card-game/core/WarOfTheRingCardGame-Core-MordorOrcs.jpg	Shadow Card	Army		1			96		1	Mordor					Sauron	Core				
05c00881-ceac-4907-9e9a-22e68c04c0d9	GP Rulebook 06	war-of-the-ring-card-game/core/WarOfTheRingCardGame-Core-GPRulebook06.jpg	Rulebook	Rulebook					6									Core				
06e92b40-20ec-43f9-9cc8-e229f09e4673	Faramir	war-of-the-ring-card-game/core/WarOfTheRingCardGame-Core-Faramir.jpg	Free Peoples Card	Character	7,8			1	9		1	Dúnedain	1		1		Aragorn	Core		When played or moved to a path 7, you may activate a different path 7.		
07627630-80c1-489a-bb74-f84039104388	Palantír of Orthanc	war-of-the-ring-card-game/core/WarOfTheRingCardGame-Core-PalantROfOrthanc.jpg	Shadow Card	Item					69			Isengard					Isengard	Core		If in reserve, once per round you may use your action to examine the top 3 cards of your draw deck. From these, eliminate 1, cycle 1, then take the remaining card into hand.		Saruman
0917f76c-e2d4-4159-8a79-83955454a6c2	Many Kings to the Service of Mordor	war-of-the-ring-card-game/fire-and-swords/WarOfTheRingCardGame-FireAndSwords-ManyKingsToTheServiceOfMordor.jpg	Shadow Card	Event					174			Easterling						Fire and Swords		Draw 7 cards: from these, play up to 1 army from each faction, and cycle the rest.		
0961ecf4-2f73-4fbb-9042-9e900aa4762d	Cair Andros	war-of-the-ring-card-game/fire-and-swords/WarOfTheRingCardGame-FireAndSwords-CairAndros.jpg	Free Peoples Battleground	Skirmish			Easterling, Mordor		25	Dúnedain, Rohan, Wizard								Fire and Swords		DEFENDER WINS Add [defense] to an accompanying battleground ATTACKER WINS Add [attack] to an accompanying battleground.		
09b3a304-c6d5-4a92-9d00-874e2c935b38	Black Breath	war-of-the-ring-card-game/core/WarOfTheRingCardGame-Core-BlackBreath.jpg	Shadow Card	Item					113			Mordor					Sauron	Core		If on a path or battleground, you may use your action and cycle this card, its wielder and any wielded items, to add 1 corruption.		Nazgul
09f74eff-a35b-4ab8-bdfc-7cb54458c07d	AtS Rulebook 06	war-of-the-ring-card-game/against-the-shadow/WarOfTheRingCardGame-AgainstTheShadow-AtSRulebook06.jpg	AtS Rulebook	Rulebook					6									Against the Shadow				
0b834339-48da-4433-af10-20aaaf6433ce	Nazgûl's Mantle	war-of-the-ring-card-game/against-the-shadow/WarOfTheRingCardGame-AgainstTheShadow-NazgLsMantle.jpg	Shadow Card	Event					117			Mordor					Sauron	Against the Shadow		Choose: Take 1 random Nazgûl from the eliminated pile and play it; or draw 2 cards.		
0c0cbcc6-7f44-49a9-a99f-c8281da0f601	Fords of Bruinen	war-of-the-ring-card-game/core/WarOfTheRingCardGame-Core-FordsOfBruinen.jpg	Path 3	Path					7							3		Core		Each Free Peoples player must forsake 1 card and then each draws 3 cards.	1	
