databaseId	name	imageUrl	cardBack	type	packName	set	loadGroupId	cost	keywords	text	health	affiliation	rarity	episode	number
4ffa33a2-d39a-4eed-8192-4fc3ead475c3	Abduction!	x-files-ccg/07-gen-con/XFilesCcg-07GenCon-Abduction.jpg	default	Adversary	07 - Gen Con	07 - Gen Con	playerNDeck	6 CP	Adversary|Alien|Phenomena	Pick one Agent in the Team. That Agent is placed 10 cards down, face up, in the owning player's Bureau deck. Any equipment the Agent had is discarded. When the Agent's card reaches the top of the deck, the Agent is immediately moved to the Hospital (undamaged). This card does not initiate combat.	N/A		Demo	Conduit	XF96-0053 GCon
4c77897d-1215-440a-b90e-33b6b07766c2	Agent Alex Krycek	x-files-ccg/07-gen-con/XFilesCcg-07GenCon-AgentAlexKrycek.jpg	default	Agent	07 - Gen Con	07 - Gen Con	playerNStarting	6 RP	Agent|FBI|Law|Neutral|Believer		5		Demo	Sleepless	XF96-0027 GCon
4c8055a2-55e1-439a-a635-c1d0f9d3396d	Agent Dana Scully	x-files-ccg/07-gen-con/XFilesCcg-07GenCon-AgentDanaScully.jpg	default	Agent	07 - Gen Con	07 - Gen Con	playerNStarting	7 RP	Agent|FBI|Law|Skeptic		4		Demo		XF96-0028 GCon
4cbb8d9f-70be-442f-995f-774d63010aee	Agent Fox Mulder	x-files-ccg/07-gen-con/XFilesCcg-07GenCon-AgentFoxMulder.jpg	default	Agent	07 - Gen Con	07 - Gen Con	playerNStarting	7 RP	Agent|FBI|Law|Believer		5		Demo		XF96-0029 GCon
4c72cda9-c5b2-4a71-800e-e2e654f54d8c	Albert Hosteen	x-files-ccg/07-gen-con/XFilesCcg-07GenCon-AlbertHosteen.jpg	default	Agent	07 - Gen Con	07 - Gen Con	playerNStarting	4 RP	Agent|Independent|Believer		3		Demo	Anasazi	XF96-0026 GCon
4d8b87d0-2291-4367-acf2-0cebe151c3b1	Alien Experimentation	x-files-ccg/07-gen-con/XFilesCcg-07GenCon-AlienExperimentation.jpg	default	Event	07 - Gen Con	07 - Gen Con	playerNDeck	5 CP	Event|Negate|Alien	Negate any one Keyword Event card.			Demo	Duane Barry	XF96-0035 GCon
4dae8c92-c48d-4bdd-8290-e222c7bdb337	Alien Technology	x-files-ccg/07-gen-con/XFilesCcg-07GenCon-AlienTechnology.jpg	default	Event	07 - Gen Con	07 - Gen Con	playerNDeck	2 RP	Event|Resource|Alien|Government	Play after one of your Teams successfully investigates a Site with Alien Investigation or Bureaucracy skill as a prerequisite. Place this card in your Bureau. Discard this card to negate one Alien or Government Adversary.			Demo	Erlenmeyer Flask	XF96-0036 GCon
4b6855c1-19ff-4b65-822a-5cb51a12af16	Arctic Worm	x-files-ccg/07-gen-con/XFilesCcg-07GenCon-ArcticWorm.jpg	default	X-File	07 - Gen Con	07 - Gen Con	playerNXFile					Alien	Demo	Ice	XF96-0019 GCon
493a20a8-0090-48ff-a250-97c25906650f	Arecibo, Puerto Rico	x-files-ccg/07-gen-con/XFilesCcg-07GenCon-AreciboPuertoRico.jpg	default	Site	07 - Gen Con	07 - Gen Con	playerNDeck	1 RP	Site|Multi|Affiliation|Method|Alien Investigation|Computer				Demo	Little Green Men	XF96-0001 GCon
495be590-ef7d-40c5-b10a-feea9ed395a0	Arlington, VA	x-files-ccg/07-gen-con/XFilesCcg-07GenCon-ArlingtonVA.jpg	default	Site	07 - Gen Con	07 - Gen Con	playerNDeck	2 RP	Site|Mono|Affiliation|Occult Investigation				Demo	Calusari	XF96-0002 GCon
49d1344c-cbce-4c7e-956c-860266c92b8d	Browning, MT	x-files-ccg/07-gen-con/XFilesCcg-07GenCon-BrowningMT.jpg	default	Site	07 - Gen Con	07 - Gen Con	playerNDeck	2 RP	Site|Mono|Motive|Occult Investigation				Demo	Shapes	XF96-0003 GCon
4a0f39b2-2526-4890-8b4b-3b47889889a1	Central Prison, Raleigh, NC	x-files-ccg/07-gen-con/XFilesCcg-07GenCon-CentralPrisonRaleighNC.jpg	default	Site	07 - Gen Con	07 - Gen Con	playerNDeck	1 RP	Site|Multi|Motive|Method|Occult Investigation|Criminal Investigation				Demo	Beyond the Sea	XF96-0004 GCon
4a17d418-7d26-483d-92fb-a4bea9862c49	Church Of The Red Museum, Delta Glen, WI	x-files-ccg/07-gen-con/XFilesCcg-07GenCon-ChurchOfTheRedMuseumDeltaGlenWI.jpg	default	Site	07 - Gen Con	07 - Gen Con	playerNDeck	1 RP	Site|Multi|Affiliation|Method|Subterfuge|Medical				Demo	Red Museum	XF96-0005 GCon
4d175c2b-de24-4157-b93a-5cef7862ae02	Colonel Marcus Aurelius Belt	x-files-ccg/07-gen-con/XFilesCcg-07GenCon-ColonelMarcusAureliusBelt.jpg	default	Witness	07 - Gen Con	07 - Gen Con	playerNDeck	2 RP	Witness|Alien|Negate	Negates one Alien Creature.			Demo	Space	XF96-0031 GCon
4db4b99d-6779-4a95-bb9f-64244b860d6a	Computer Access Denied	x-files-ccg/07-gen-con/XFilesCcg-07GenCon-ComputerAccessDenied.jpg	default	Event	07 - Gen Con	07 - Gen Con	playerNDeck	2 CP	Event|Computer	Force an opponent Team to make a Computer 4+ skill check or they will be unable to complete the skill check.			Demo	Ghost in the Machine	XF96-0037 GCon
4dcefc2a-dd0e-4637-9374-669662dae1aa	Crop Circles	x-files-ccg/07-gen-con/XFilesCcg-07GenCon-CropCircles.jpg	default	Event	07 - Gen Con	07 - Gen Con	playerNDeck	1 RP	Event|Alien|Resource	Play after one of your Teams successfully investigates a Site with Alien Investigation skill as a prerequisite. Place this card in your Bureau. Discard this card to add +1 to an Alien Investigation skill check.			Demo	Gender Bender	XF96-0038 GCon
4a1d6ba8-4d08-4540-b376-a82c433c1e56	Cumberland Prison, VA	x-files-ccg/07-gen-con/XFilesCcg-07GenCon-CumberlandPrisonVA.jpg	default	Site	07 - Gen Con	07 - Gen Con	playerNDeck	2 RP	Site|Mono|Affiliation|Subterfuge				Demo	F. Emasculata	XF96-0006 GCon
5012f6dc-da94-4c52-8fcf-78a54ba98107	Darkness Falls	x-files-ccg/07-gen-con/XFilesCcg-07GenCon-DarknessFalls.jpg	default	Adversary	07 - Gen Con	07 - Gen Con	playerNDeck	6 CP	Adversary|Primordial|Creature	Unless a Healing card is played immediately and the card results in 1 point being healed, move the Agent to the Hospital. The Agent must stay in hospital for the next turn.	N/A		Demo	Darkness Falls	XF96-0054 GCon
5019f473-0fda-444b-8e1c-202b0dd811d9	Deadly Blur	x-files-ccg/07-gen-con/XFilesCcg-07GenCon-DeadlyBlur.jpg	default	Adversary	07 - Gen Con	07 - Gen Con	playerNDeck	7 CP	Adversary|Alien|Creature	Any Agent damaged by the Deadly Blur is placed in the hospital for the next two turns regardless of how much Health they have. Each opponent's LRC and CRC is reduced one point. The Deadly Blur may use Subterfuge Combat cards.	6		Demo	Fallen Angel	XF96-0055 GCon
4e4611b8-f047-4821-9dbd-0b10e453284e	Deep Throat	x-files-ccg/07-gen-con/XFilesCcg-07GenCon-DeepThroat.jpg	default	Event	07 - Gen Con	07 - Gen Con	playerNDeck	5 RP	Event|Question	Ask any one Characteristic question regarding one opponent's X‐File. Remove this card from the game. The effects of this card may not be negated.			Demo	Deep Throat	XF96-0039 GCon
4ac3b369-9b9f-4621-91d8-179b4014181a	Detective Thompson	x-files-ccg/07-gen-con/XFilesCcg-07GenCon-DetectiveThompson.jpg	default	Bluff	07 - Gen Con	07 - Gen Con	playerNDeck	3 CP	Bluff|Primordial	Play to change a Site prerequisite to Bureaucracy 3+.			Demo	The Jersey Devil	XF96-0015 GCon
4d1811c7-17a2-4f31-b157-3c8995897d3d	Dr. Daniel Trepkos	x-files-ccg/07-gen-con/XFilesCcg-07GenCon-DrDanielTrepkos.jpg	default	Witness	07 - Gen Con	07 - Gen Con	playerNDeck	2 RP	Witness|Negate|Primordial	Negates one Primordial Creature.			Demo	Firewalker	XF96-0032 GCon
4d3334e6-584d-4cbd-b2f4-2a7b72809d0b	Dr. Laskos	x-files-ccg/07-gen-con/XFilesCcg-07GenCon-DrLaskos.jpg	default	Witness	07 - Gen Con	07 - Gen Con	playerNDeck	2 RP	Witness|Medical	Adds +2 to one Team's Medical skill check.			Demo	Død Kalm	XF96-0033 GCon
4b9cd228-e4e7-4423-a28b-ce8dd8681784	Duane Barry	x-files-ccg/07-gen-con/XFilesCcg-07GenCon-DuaneBarry.jpg	default	X-File	07 - Gen Con	07 - Gen Con	playerNXFile					Government	Demo	Duane Barry	XF96-0020 GCon
4ba31c4b-3357-4c0b-9365-56bac1b7d830	Eugene Victor Tooms	x-files-ccg/07-gen-con/XFilesCcg-07GenCon-EugeneVictorTooms.jpg	default	X-File	07 - Gen Con	07 - Gen Con	playerNXFile					Evolutionary	Demo	Squeeze	XF96-0021 GCon
4baa6ed5-f628-490b-ada4-4aa89de04585	Eve	x-files-ccg/07-gen-con/XFilesCcg-07GenCon-Eve.jpg	default	X-File	07 - Gen Con	07 - Gen Con	playerNXFile					Evolutionary	Demo	Eve	XF96-0022 GCon
